id,user_id,text,date,group_id
16,13,"I've got a fetish for good food and this place gets me hot! The food was flavorful, savory, and succulent. Make sure to save room for dessert, because that was the best part of the meal! The waitress did an excellent job. After my meal, I was knocked into a food coma.",5/28/2021,4
17,40,"This place was nearby and I decided to check it out. The food was cooked to perfection. The ambiance gives off an earthy feel-good vibe. Make sure to save room for dessert, because that was the best part of the meal! The waiter was prompt and polite. I could see myself being a regular here.",6/29/2021,3
18,76,I have been here several times before. I was happy to see how clean everything was. The ambiance gives off an earthy feel-good vibe. I removed a star because the busboy had really bad body odor.,6/4/2021,7
19,63,It was much better than I expected. I want to hire their decorator to furnish my apartment. Everything was just so yummy. I removed a star because the staff kept looking at me funny.,5/21/2021,1
20,99,"Worst experience ever! I asked for my steak medium-well, but it was still cold. Too many things on the menu look like crap, smell like crap, and taste like crap. Seriously, how difficult is it to get a clean glass around here? I heard a rumor that the vegetarian dishes are prepared alongside the meat. I wish I could put a sign out front that said ""DON'T EAT HERE!""",6/12/2021,4
21,30,"I can summarize my visit in one word: Dreadful. There were bits of food stuck to my silverware. I was served dog food on a plate, but I wouldn't even feed it to my dog. 1 star was too generous.",5/29/2021,9
22,34,Bleh. This place is very dumpy and in a serious need of a fresh paint job. Everything tasted either microwaved or straight from a can. Some of my favorite dishes are no longer available. The tofu dish tasted spongy and a bit bland. I would be hard pressed to come back.,6/11/2021,6
23,34,This place was just ok. The service wasn't that good and the waitress was tired. The menu didn't match the one on their website. There were a lot of interesting decorations on the walls. I was not very pleased to find out that the coffee wasn't organic. Might be back.,7/6/2021,7
24,65,OMG! So good! I want to hire their decorator to furnish my apartment. The food is simply to die for. Try out the huge selection of incredible appetizers,5/17/2021,4
25,4,This is one of my favorite places. Everything was simply decadent. I found the ambiance to be very charming. Try out the huge selection of incredible appetizers. The waiter was prompt and polite. ,6/21/2021,2
26,90,This is one of my favorite places. Everything was just so yummy. Try out the huge selection of incredible appetizers. They got a new customer for life!,5/25/2021,4
27,99,I've got a fetish for good food and this place gets me hot! The decor was unique and incredible. The waitress did an excellent job. This was one of the best mouth-watering steaks I've had grace my taste buds in a long time. Everything I tried was bursting with flavor. This is definitely a spot I'll be frequenting.,7/1/2021,5
28,66,"This place had a lot of heart. The desserts must be sprinkled with crack because I just craved for more and more. After my meal, I was knocked into a food coma. The service was good for the most part but the waiter was a bit clueless.",7/14/2021,6
29,95,I felt like this place wasn't trying hard enough. The service was good for the most part but the waiter was a bit rude. The tofu dish tasted spongy and a bit bland. There were a lot of interesting decorations on the walls.,6/10/2021,2
30,97,Yummers! I found the ambiance to be very charming. Everything was just so yummy. The appetizers must be sprinkled with crack because I just craved for more and more.,6/12/2021,4
31,91,"My taste buds are still tingling from our last visit! After my meal, I was knocked into a food coma. Everything was just so yummy. I'd give more than 5 stars if I could!",5/27/2021,2
32,80,"OMG! So yummy! The decor was unique and incredible. Try out the huge selection of incredible appetizers. After my meal, I was knocked into a food coma",5/30/2021,6
33,52,I was pleasantly surprised. I was happy to see how clean everything was. The service was good for the most part but the waitress was a bit air-headed. I had a satisfactory experience and will have to try it again.,7/9/2021,5
34,66,"I asked for my steak medium, but it was frozen in the center. Seriously, how difficult is it to get a clean glass around here?",6/5/2021,10
35,65,This place was just ok. The steak was a little dry. There were bits of food stuck to my silverware. The waiter was barely there. I would be hard pressed to come back.,6/29/2021,8
36,80," After my meal, I was knocked into a food coma. The desserts must be sprinkled with crack because I just craved for more and more. The food was cooked to perfection.",6/28/2021,5
37,58,"It was much better than I expected. This was one of the best mouth-watering burgers I've had grace my taste buds in a long time. The decor was unique and incredible. After my meal, I was knocked into a food coma. The service was good for the most part but the waiter was a bit air-headed. I had a satisfactory experience and will have to try it again.",7/11/2021,9
38,58,Decent place. I was happy to see how clean everything was. I found the ambiance to be very charming. I removed a star because the wait to get in was so long.,7/2/2021,4
39,85,The service was good for the most part but the waiter was a bit rude. There were a lot of interesting decorations on the walls. I docked them one star because the chicken was too dry.,5/15/2021,4
40,50,"The decor was unique and incredible. Everything I tried was bursting with flavor. It could have been perfect, but the staff kept looking at me funny.",7/14/2021,5
41,80,I was pleasantly surprised. Try out the huge selection of incredible appetizers. The waitress did an excellent job. Everything I tried was bursting with flavor. The entree I had was sublime.,6/16/2021,2
42,78,This was one of the best mouth-watering steaks I've had grace my taste buds in a long time. The waitress did an excellent job. The decor was unique and incredible. Everything was just so yummy.,6/6/2021,8
43,74,The service was good for the most part but the waitress was a bit air-headed. The food is simply to die for. I could see myself being a regular here.,6/19/2021,7
44,26,It was much better than I expected. The entree I had was sublime. I was happy to see how clean everything was. There were a lot of interesting decorations on the walls. Try out the huge selection of incredible appetizers. I could see myself being a regular here.,5/27/2021,10
45,19,Food in this restaurant is not bad.,7/4/2021,2
46,92,How about this one?,7/2/2021,8
47,71,Do you like this?,6/23/2021,1
48,69,Its not so good as I thought.,6/11/2021,5
49,32,How about you?,7/2/2021,2
50,31,Really?,6/22/2021,7
51,47,Good or no?,5/19/2021,8
52,13,I wanna try something different,6/1/2021,6
53,29,Ok,6/21/2021,3
54,35,NP,6/16/2021,6
55,33,When is the due?,7/12/2021,2
56,58,How about erik?,6/5/2021,2
57,52,How about Nic?,5/16/2021,6
58,50,How about Kenneth?,6/18/2021,5
59,29,How about Zedong?,6/12/2021,8
60,88,How about Chris?,5/15/2021,7
61,74,How about Austin?,5/22/2021,10
62,56,How about Scott?,7/1/2021,8
63,12,How about Julian?,7/6/2021,10
64,39,How about Hilary?,5/15/2021,1
65,80,How about Jeremy?,6/26/2021,10
66,14,How about Andrew?,7/8/2021,5
67,73,How about Miguel?,5/28/2021,5
68,5,How about Jimmy?,6/26/2021,7
69,26,How about Josh?,6/13/2021,4
70,78,How about Michal?,6/4/2021,1
71,50,How about Dirk?,5/23/2021,7
72,35,How do you feel?,6/25/2021,3
73,23,How do you feel?,6/22/2021,1
74,24,What’s your opinion?,6/3/2021,9
75,78,agree?,7/10/2021,2
76,70,Nah..,6/29/2021,8
77,33,I am down.,5/17/2021,5
78,53,I wanna try.,6/4/2021,10
79,84,How about that one?,5/25/2021,1
80,100,It was great.,6/27/2021,2
81,6,Awesome,7/6/2021,1
82,95,Awesome,7/5/2021,3
83,6,Awesome,7/5/2021,9
84,36,Great!,6/16/2021,7
85,38,Great!,7/5/2021,7
86,39,Great!,5/29/2021,7
87,59,No…,6/1/2021,9
88,44,Thx,5/30/2021,8
89,41,Thx anyway,6/29/2021,1
90,21,Up to you,6/9/2021,9
91,18,Up to you,6/15/2021,5
92,24,Up to you,7/13/2021,10
93,98,Anyone want this?,7/11/2021,1
94,9,Anyone want this?,6/11/2021,1
95,99,All is down?,6/13/2021,5
96,56,All is down?,6/8/2021,5
97,100,All is down?,7/1/2021,2
98,49,Sure,5/27/2021,6
99,97,Ok,5/17/2021,6
100,29,Ok,6/18/2021,5
